filename,sample_id,view_id,score,raw,coverage,gap_ratio,break_count,row_jitter,rule_hint,backend
27-9  20X.jpg,27,9,6,6.137,0.9325,0.0675,3,53.9585,上下衔接的小区域排列散乱，即将断开 (中分),cnn
28-7  20X.jpg,28,7,7,7.3705,0.9113,0.0887,4,62.8075,上下衔接较连续 (中高分),cnn
28-8   20X.jpg,28,8,7,7.1517,0.9563,0.0437,2,56.5767,上下衔接较连续 (中高分),cnn
28-9  20X.jpg,28,9,7,7.4809,0.955,0.045,1,60.1732,上下衔接较连续 (中高分),cnn
29-7  20X.jpg,29,7,8,8.0267,0.9625,0.0375,0,58.8942,上下衔接较连续 (中高分),cnn
29-8   20X.jpg,29,8,8,7.54,0.9537,0.0463,2,67.909,上下衔接较连续 (中高分),cnn
29-9  20X.jpg,29,9,8,7.6051,0.9062,0.0938,4,66.2799,上下衔接较连续 (中高分),cnn
3-7  20X.jpg,3,7,7,7.3253,0.9563,0.0437,1,56.3829,上下衔接较连续 (中高分),cnn
3-8 20X.jpg,3,8,7,6.8202,0.8988,0.1012,4,55.7158,上下衔接较连续 (中高分),cnn
3-9   20X.jpg,3,9,7,6.5185,0.92,0.08,4,60.9412,上下衔接较连续 (中高分),cnn
30-7  20X.jpg,30,7,7,6.6051,0.87,0.13,4,66.0469,上下衔接较连续 (中高分),cnn
30-8  20X.jpg,30,8,7,6.986,0.9163,0.0837,3,63.748,上下衔接较连续 (中高分),cnn
30-9 20X.jpg,30,9,8,7.5266,0.9062,0.0938,4,65.638,上下衔接较连续 (中高分),cnn
31-7 20X.jpg,31,7,7,6.9929,0.9175,0.0825,4,63.8039,上下衔接较连续 (中高分),cnn
31-8 20X.jpg,31,8,7,7.1791,0.9688,0.0312,0,55.2686,上下衔接较连续 (中高分),cnn
31-9  20X.jpg,31,9,7,6.7805,0.9487,0.0513,2,58.9471,上下衔接较连续 (中高分),cnn
32-7 20X.jpg,32,7,7,6.9151,0.8812,0.1188,6,54.5865,上下衔接较连续 (中高分),cnn
32-8 20X.jpg,32,8,8,8.188,0.935,0.065,3,47.6368,上下衔接较连续 (中高分),cnn
32-9  20X.jpg,32,9,6,6.0208,0.9387,0.0613,2,52.7358,上下衔接的小区域排列散乱，即将断开 (中分),cnn
33-7 20X.jpg,33,7,7,7.3465,0.9213,0.0787,3,58.4271,上下衔接较连续 (中高分),cnn
33-8  20X.jpg,33,8,7,7.0395,0.9025,0.0975,4,55.4398,上下衔接较连续 (中高分),cnn
33-9  20X.jpg,33,9,8,8.2266,0.8625,0.1375,7,63.0532,上下衔接较连续 (中高分),cnn
34-7 20X.jpg,34,7,7,7.1909,0.9437,0.0563,2,67.5191,上下衔接较连续 (中高分),cnn
34-8 20X.jpg,34,8,8,8.0403,0.8925,0.1075,3,50.8718,上下衔接较连续 (中高分),cnn
34-9 20X.jpg,34,9,7,7.3411,0.9613,0.0387,1,63.9086,上下衔接较连续 (中高分),cnn
35-7 20X.jpg,35,7,4,4.3034,0.9325,0.0675,1,49.5796,上下衔接的小区域排列散乱，即将断开 (中分),cnn
35-8 20X.jpg,35,8,5,5.4274,0.95,0.05,1,51.6551,上下衔接的小区域排列散乱，即将断开 (中分),cnn
35-9   20X.jpg,35,9,7,7.0229,0.9325,0.0675,2,55.3061,上下衔接较连续 (中高分),cnn
36-7 20X.jpg,36,7,6,6.3616,0.91,0.09,2,58.4342,上下衔接的小区域排列散乱，即将断开 (中分),cnn
36-8  20X.jpg,36,8,6,5.9056,0.9387,0.0613,3,56.4245,上下衔接的小区域排列散乱，即将断开 (中分),cnn
36-9  20X.jpg,36,9,5,5.1483,0.8738,0.1262,4,59.4449,上下衔接的小区域排列散乱，即将断开 (中分),cnn
37-7  20X.jpg,37,7,7,6.948,0.9,0.1,4,51.6804,上下衔接较连续 (中高分),cnn
37-8  20X.jpg,37,8,7,7.0189,0.9712,0.0288,0,53.4268,上下衔接较连续 (中高分),cnn
37-9 20X.jpg,37,9,6,6.4762,0.9712,0.0288,0,58.2731,上下衔接的小区域排列散乱，即将断开 (中分),cnn
38-7  20X.jpg,38,7,6,6.4828,0.965,0.035,1,55.3937,上下衔接的小区域排列散乱，即将断开 (中分),cnn
38-8 20X.jpg,38,8,7,6.6591,0.905,0.095,2,58.7319,上下衔接较连续 (中高分),cnn
38-9 20X.jpg,38,9,8,7.5473,0.9938,0.0062,0,56.8601,上下衔接较连续 (中高分),cnn
39-7  20X.jpg,39,7,5,5.4578,0.9425,0.0575,3,56.8814,上下衔接的小区域排列散乱，即将断开 (中分),cnn
39-8   20X.jpg,39,8,5,5.4978,0.91,0.09,3,53.6981,上下衔接的小区域排列散乱，即将断开 (中分),cnn
39-9  20X.jpg,39,9,5,5.0053,0.9275,0.0725,3,53.6235,上下衔接的小区域排列散乱，即将断开 (中分),cnn
4-7 20X.jpg,4,7,7,7.4119,0.9637,0.0363,0,64.4373,上下衔接较连续 (中高分),cnn
4-8 20X.jpg,4,8,8,7.6917,0.9275,0.0725,3,61.8074,上下衔接较连续 (中高分),cnn
4-9    20X.jpg,4,9,7,7.3054,0.9637,0.0363,1,55.7069,上下衔接较连续 (中高分),cnn
40-7  20X.jpg,40,7,6,6.1917,0.965,0.035,1,50.4994,上下衔接的小区域排列散乱，即将断开 (中分),cnn
40-8  20X.jpg,40,8,6,6.2263,0.925,0.075,2,57.9785,上下衔接的小区域排列散乱，即将断开 (中分),cnn
40-9    20X.jpg,40,9,9,8.6578,0.9637,0.0363,1,55.6788,上下衔接的小区域紧凑衔接 (高分),cnn
41-7 20X.jpg,41,7,8,7.5095,0.9712,0.0288,1,56.1137,上下衔接较连续 (中高分),cnn
41-8  20X.jpg,41,8,6,5.8536,0.9688,0.0312,0,58.5034,上下衔接的小区域排列散乱，即将断开 (中分),cnn
41-9  20X.jpg,41,9,6,5.9123,0.8475,0.1525,4,54.5552,上下衔接的小区域排列散乱，即将断开 (中分),cnn
42-7 20X.jpg,42,7,6,6.1182,0.8662,0.1338,3,55.9278,上下衔接的小区域排列散乱，即将断开 (中分),cnn
42-8 20X.jpg,42,8,6,6.3654,0.925,0.075,2,51.8709,上下衔接的小区域排列散乱，即将断开 (中分),cnn
42-9   20X.jpg,42,9,7,7.0188,0.9437,0.0563,1,56.6326,上下衔接较连续 (中高分),cnn
43-7  20X.jpg,43,7,7,7.3965,0.9012,0.0988,3,57.0244,上下衔接较连续 (中高分),cnn
43-8   20X.jpg,43,8,8,7.6393,0.9287,0.0713,3,54.4794,上下衔接较连续 (中高分),cnn
43-9   20X.jpg,43,9,8,7.677,0.94,0.06,4,50.9958,上下衔接较连续 (中高分),cnn
44-7  20X.jpg,44,7,7,7.1266,0.9475,0.0525,1,66.6183,上下衔接较连续 (中高分),cnn
44-8  20X.jpg,44,8,7,7.2739,0.9862,0.0138,0,55.7283,上下衔接较连续 (中高分),cnn
44-9   20X.jpg,44,9,7,6.6217,0.9263,0.0737,3,56.4918,上下衔接较连续 (中高分),cnn
45-7  20X.jpg,45,7,6,5.7012,0.9275,0.0725,2,59.7321,上下衔接的小区域排列散乱，即将断开 (中分),cnn
45-8  20X.jpg,45,8,7,7.2056,0.765,0.235,7,58.0633,上下衔接较连续 (中高分),cnn
45-9    20X.jpg,45,9,7,6.8828,0.9762,0.0238,0,58.645,上下衔接较连续 (中高分),cnn
46-7 20X.jpg,46,7,7,6.5684,0.9413,0.0587,3,55.3242,上下衔接较连续 (中高分),cnn
46-8  20X.jpg,46,8,6,5.7482,0.9375,0.0625,2,52.0567,上下衔接的小区域排列散乱，即将断开 (中分),cnn
46-9  20X.jpg,46,9,6,6.2638,0.91,0.09,3,57.3367,上下衔接的小区域排列散乱，即将断开 (中分),cnn
47-7  20X.jpg,47,7,5,5.3306,0.86,0.14,7,52.903,上下衔接的小区域排列散乱，即将断开 (中分),cnn
47-8  20X.jpg,47,8,5,5.1033,0.9163,0.0837,2,47.055,上下衔接的小区域排列散乱，即将断开 (中分),cnn
47-9   20X.jpg,47,9,7,7.0362,0.9163,0.0837,2,56.3979,上下衔接较连续 (中高分),cnn
48-7  20X.jpg,48,7,7,7.4931,0.94,0.06,2,60.8757,上下衔接较连续 (中高分),cnn
48-8  20X.jpg,48,8,7,7.3011,0.9187,0.0813,3,60.2854,上下衔接较连续 (中高分),cnn
48-9  20X.jpg,48,9,7,6.8628,0.97,0.03,0,44.2626,上下衔接较连续 (中高分),cnn
49-7  20X.jpg,49,7,7,7.41,0.97,0.03,0,59.0696,上下衔接较连续 (中高分),cnn
49-8  20X.jpg,49,8,7,6.5707,0.9137,0.0863,3,51.6501,上下衔接较连续 (中高分),cnn
49-9  20X.jpg,49,9,8,7.5008,0.9463,0.0537,1,56.994,上下衔接较连续 (中高分),cnn
5-7 20X.jpg,5,7,8,7.8825,0.9175,0.0825,2,63.2677,上下衔接较连续 (中高分),cnn
5-8  20X.jpg,5,8,6,5.8811,0.93,0.07,2,62.1819,上下衔接的小区域排列散乱，即将断开 (中分),cnn
5-9  20X.jpg,5,9,9,8.8468,0.9275,0.0725,3,67.1483,上下衔接的小区域紧凑衔接 (高分),cnn
50-7 20X.jpg,50,7,8,8.1759,0.9575,0.0425,1,51.8411,上下衔接较连续 (中高分),cnn
50-8  20X.jpg,50,8,5,4.605,0.9125,0.0875,2,53.4812,上下衔接的小区域排列散乱，即将断开 (中分),cnn
50-9  20X.jpg,50,9,8,7.8594,0.9875,0.0125,0,55.042,上下衔接较连续 (中高分),cnn
51-7 20X.jpg,51,7,8,8.3229,0.955,0.045,1,61.1566,上下衔接较连续 (中高分),cnn
51-8  20X.jpg,51,8,8,7.9877,0.97,0.03,1,61.5669,上下衔接较连续 (中高分),cnn
51-9   20X.jpg,51,9,9,8.5062,0.9812,0.0188,1,66.9008,上下衔接的小区域紧凑衔接 (高分),cnn
52-7  20X.jpg,52,7,4,3.7344,0.9537,0.0463,1,52.8126,上下衔接的小区域排列散乱，即将断开 (中分),cnn
52-8   20X.jpg,52,8,6,5.5759,0.9762,0.0238,1,48.6013,上下衔接的小区域排列散乱，即将断开 (中分),cnn
52-9   20X.jpg,52,9,6,6.2917,0.9775,0.0225,0,50.4282,上下衔接的小区域排列散乱，即将断开 (中分),cnn
53-7  20X.jpg,53,7,2,2.4854,0.9613,0.0387,2,47.1834,上下衔接的小区域已经出现断层 (低分),cnn
53-8   20X.jpg,53,8,6,5.7141,0.98,0.02,0,46.8352,上下衔接的小区域排列散乱，即将断开 (中分),cnn
53-9   20X.jpg,53,9,7,7.0446,0.9862,0.0138,0,62.2863,上下衔接较连续 (中高分),cnn
54-7 20X.jpg,54,7,4,3.8719,0.9425,0.0575,1,44.2196,上下衔接的小区域排列散乱，即将断开 (中分),cnn
54-8   20X.jpg,54,8,3,2.5751,0.9613,0.0387,1,45.3931,上下衔接的小区域已经出现断层 (低分),cnn
54-9   20X.jpg,54,9,5,4.7426,0.9413,0.0587,2,51.644,上下衔接的小区域排列散乱，即将断开 (中分),cnn
55-7  20X.jpg,55,7,7,6.9811,0.8962,0.1038,4,53.1965,上下衔接较连续 (中高分),cnn
55-8   20X.jpg,55,8,7,7.0139,0.9688,0.0312,0,53.6329,上下衔接较连续 (中高分),cnn
55-9  20X.jpg,55,9,7,7.0413,0.98,0.02,0,50.8085,上下衔接较连续 (中高分),cnn
56-7 20X.jpg,56,7,8,7.6986,0.9313,0.0687,2,63.0069,上下衔接较连续 (中高分),cnn
56-8  20X.jpg,56,8,8,8.1623,0.935,0.065,3,56.0148,上下衔接较连续 (中高分),cnn
56-9   20X.jpg,56,9,9,8.7077,0.9575,0.0425,2,56.1822,上下衔接的小区域紧凑衔接 (高分),cnn
57-7 20X.jpg,57,7,8,8.2748,0.9325,0.0675,2,56.2995,上下衔接较连续 (中高分),cnn
57-8  20X.jpg,57,8,8,7.9642,0.9537,0.0463,2,55.219,上下衔接较连续 (中高分),cnn
57-9   20X.jpg,57,9,7,7.3937,0.9213,0.0787,1,53.2969,上下衔接较连续 (中高分),cnn
58-7  20X.jpg,58,7,5,5.1805,0.9187,0.0813,3,48.4907,上下衔接的小区域排列散乱，即将断开 (中分),cnn
58-8  20X.jpg,58,8,7,6.5148,0.905,0.095,4,50.9451,上下衔接较连续 (中高分),cnn
58-9   20X.jpg,58,9,6,6.1901,0.9363,0.0637,2,43.2293,上下衔接的小区域排列散乱，即将断开 (中分),cnn
59-7  20X.jpg,59,7,7,6.6234,0.8738,0.1262,4,61.2,上下衔接较连续 (中高分),cnn
59-8  20X.jpg,59,8,4,4.3394,0.985,0.015,1,51.9741,上下衔接的小区域排列散乱，即将断开 (中分),cnn
59-9   20X.jpg,59,9,5,4.7424,0.9113,0.0887,4,57.9731,上下衔接的小区域排列散乱，即将断开 (中分),cnn
6-7  20X.jpg,6,7,7,6.9555,0.97,0.03,0,53.5921,上下衔接较连续 (中高分),cnn
6-8  20X.jpg,6,8,7,7.2851,0.9425,0.0575,2,51.9483,上下衔接较连续 (中高分),cnn
6-9    20X.jpg,6,9,8,7.7755,0.935,0.065,4,55.9759,上下衔接较连续 (中高分),cnn
60-7  20X.jpg,60,7,3,3.4229,0.9487,0.0513,2,55.0635,上下衔接的小区域已经出现断层 (低分),cnn
60-8  20X.jpg,60,8,2,2.1689,0.8938,0.1062,4,55.5417,上下衔接的小区域已经出现断层 (低分),cnn
60-9  20X.jpg,60,9,2,2.3161,0.9012,0.0988,2,53.069,上下衔接的小区域已经出现断层 (低分),cnn
61-7 20X.jpg,61,7,8,7.6599,0.93,0.07,3,54.2187,上下衔接较连续 (中高分),cnn
61-8  20X.jpg,61,8,8,7.9462,0.9563,0.0437,0,48.6207,上下衔接较连续 (中高分),cnn
61-9   20X.jpg,61,9,9,8.5299,0.95,0.05,0,51.3138,上下衔接的小区域紧凑衔接 (高分),cnn
62-7  20X.jpg,62,7,8,8.239,0.9375,0.0625,3,53.4019,上下衔接较连续 (中高分),cnn
62-8  20X.jpg,62,8,9,8.803,0.935,0.065,1,59.4982,上下衔接的小区域紧凑衔接 (高分),cnn
62-9  20X.jpg,62,9,8,8.1507,0.9337,0.0663,3,54.0393,上下衔接较连续 (中高分),cnn
63-7  20X.jpg,63,7,8,8.4758,0.8562,0.1438,4,71.7728,上下衔接较连续 (中高分),cnn
63-8   20X.jpg,63,8,9,8.7954,0.8862,0.1138,4,64.5301,上下衔接的小区域紧凑衔接 (高分),cnn
63-9   20X.jpg,63,9,7,6.8316,0.8438,0.1562,5,51.7422,上下衔接较连续 (中高分),cnn
7-7   20X.jpg,7,7,7,6.5278,0.9975,0.0025,0,47.3575,上下衔接较连续 (中高分),cnn
7-8 20X.jpg,7,8,6,6.2251,0.9812,0.0188,0,47.3061,上下衔接的小区域排列散乱，即将断开 (中分),cnn
7-9   20X.jpg,7,9,5,4.9709,0.9712,0.0288,1,47.6531,上下衔接的小区域排列散乱，即将断开 (中分),cnn
8-7 20X.jpg,8,7,7,7.0296,0.8538,0.1462,5,33.4708,上下衔接较连续 (中高分),cnn
8-8 20X.jpg,8,8,7,7.3768,0.97,0.03,0,59.5403,上下衔接较连续 (中高分),cnn
8-9   20X.jpg,8,9,7,7.0384,0.9663,0.0337,1,48.5558,上下衔接较连续 (中高分),cnn
9-7 20X.jpg,9,7,6,6.0033,0.965,0.035,1,45.128,上下衔接的小区域排列散乱，即将断开 (中分),cnn
9-8  20X.jpg,9,8,6,6.1399,0.9475,0.0525,1,49.4693,上下衔接的小区域排列散乱，即将断开 (中分),cnn
9-9   20X.jpg,9,9,7,7.2287,0.9712,0.0288,1,59.1363,上下衔接较连续 (中高分),cnn
